ts,program,gate,recipe
2025-06-05T05:53:43+00:00,2,1,R_120_160_0_0_exact_35
2025-06-05T05:53:43+00:00,2,2,R_120_160_0_0_exact_35
2025-06-05T05:53:43+00:00,2,3,R_160_200_0_0_exact_25
2025-06-05T05:53:43+00:00,2,4,R_160_200_0_0_exact_25
2025-06-05T05:53:43+00:00,2,5,R_200_250_4875_9999_NA_0
2025-06-05T05:53:43+00:00,2,6,R_200_250_4875_9999_NA_0
2025-06-05T05:53:43+00:00,2,7,R_200_250_4875_9999_NA_0
2025-06-05T05:53:43+00:00,2,8,R_10_1000_4875_9999_NA_0
2025-06-05T08:51:10+00:00,3,1,R_120_160_0_0_exact_30
2025-06-05T08:51:10+00:00,3,2,R_120_160_0_0_exact_30
2025-06-05T08:51:10+00:00,3,3,R_160_200_0_0_exact_25
2025-06-05T08:51:10+00:00,3,4,R_160_200_0_0_exact_25
2025-06-05T08:51:10+00:00,3,5,R_200_250_4875_9999_NA_0
2025-06-05T08:51:10+00:00,3,6,R_200_250_4875_9999_NA_0
2025-06-05T08:51:10+00:00,3,7,R_200_250_4875_9999_NA_0
2025-06-05T08:51:10+00:00,3,8,R_10_1000_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,1,R_190_250_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,2,R_190_250_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,3,R_250_285_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,4,R_250_285_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,5,R_250_285_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,6,R_10_999_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,7,R_10_999_4875_9999_NA_0
2025-06-05T10:53:18+00:00,4,8,R_10_999_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,1,R_220_290_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,2,R_220_290_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,3,R_290_310_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,4,R_290_310_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,5,R_310_400_4875_9999_NA_0
