ts,program,gate,recipe
2025-06-05 05:53:43,64,1,R_120_160_0_0_exact_35
2025-06-05 05:53:43,64,1,R_120_160_0_0_exact_35
2025-06-05 05:53:43,64,2,R_120_160_0_0_exact_35
2025-06-05 05:53:43,64,2,R_120_160_0_0_exact_35
2025-06-05 05:53:43,64,3,R_160_200_0_0_exact_25
2025-06-05 05:53:43,64,3,R_160_200_0_0_exact_25
2025-06-05 05:53:43,64,4,R_160_200_0_0_exact_25
2025-06-05 05:53:43,64,4,R_160_200_0_0_exact_25
2025-06-05 05:53:43,64,5,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,5,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,6,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,6,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,7,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,7,R_200_250_4875_9999_NA_0
2025-06-05 05:53:43,64,8,R_10_1000_4875_9999_NA_0
2025-06-05 05:53:43,64,8,R_10_1000_4875_9999_NA_0
2025-06-05 08:51:10,65,1,R_120_160_0_0_exact_30
2025-06-05 08:51:10,65,2,R_120_160_0_0_exact_30
2025-06-05 08:51:10,65,3,R_160_200_0_0_exact_25
2025-06-05 08:51:10,65,4,R_160_200_0_0_exact_25
2025-06-05 08:51:10,65,5,R_200_250_4875_9999_NA_0
2025-06-05 08:51:10,65,6,R_200_250_4875_9999_NA_0
2025-06-05 08:51:10,65,7,R_200_250_4875_9999_NA_0
2025-06-05 08:51:10,65,8,R_10_1000_4875_9999_NA_0
2025-06-05 10:53:18,66,1,R_190_250_4875_9999_NA_0
2025-06-05 10:53:18,66,2,R_190_250_4875_9999_NA_0
2025-06-05 10:53:18,66,3,R_250_285_4875_9999_NA_0
2025-06-05 10:53:18,66,4,R_250_285_4875_9999_NA_0
2025-06-05 10:53:18,66,5,R_250_285_4875_9999_NA_0
2025-06-05 10:53:18,66,6,R_10_999_4875_9999_NA_0
2025-06-05 10:53:18,66,7,R_10_999_4875_9999_NA_0
2025-06-05 10:53:18,66,8,R_10_999_4875_9999_NA_0
2025-06-05 11:55:35,67,1,R_220_290_4875_9999_NA_0
2025-06-05 11:55:35,67,2,R_220_290_4875_9999_NA_0
2025-06-05 11:55:35,67,3,R_290_310_4875_9999_NA_0
2025-06-05 11:55:35,67,4,R_290_310_4875_9999_NA_0
2025-06-05 11:55:35,67,5,R_310_400_4875_9999_NA_0
2025-06-05 11:55:35,67,6,R_310_400_4875_9999_NA_0
2025-06-05 11:55:35,67,7,R_310_400_4875_9999_NA_0
2025-06-05 11:55:35,67,8,R_10_999_4875_9999_NA_0
2025-06-11 06:01:58,68,1,R_120_170_0_0_exact_30
2025-06-11 06:01:58,68,2,R_120_170_0_0_exact_30
2025-06-11 06:01:58,68,3,R_160_200_0_0_exact_25
2025-06-11 06:01:58,68,4,R_160_200_0_0_exact_25
2025-06-11 06:01:58,68,5,R_200_250_4855_9999_NA_0
2025-06-11 06:01:58,68,6,R_200_250_4855_9999_NA_0
2025-06-11 06:01:58,68,7,R_200_250_4855_9999_NA_0
2025-06-11 06:01:58,68,8,R_10_1000_4875_9999_NA_0
2025-06-11 08:22:12,69,1,R_160_200_0_0_exact_25
2025-06-11 08:22:12,69,2,R_160_200_0_0_exact_25
2025-06-11 08:22:12,69,3,R_200_260_4875_9999_NA_0
2025-06-11 08:22:12,69,4,R_200_260_4875_9999_NA_0
2025-06-11 08:22:12,69,5,R_260_320_4855_9999_NA_0
2025-06-11 08:22:12,69,6,R_260_320_4855_9999_NA_0
2025-06-11 08:22:12,69,7,
2025-06-11 08:22:12,69,8,
2025-06-12 06:23:44,70,1,R_130_170_4875_9999_NA_0
2025-06-12 06:23:44,70,2,R_130_170_4875_9999_NA_0
2025-06-12 06:23:44,70,3,R_170_200_0_0_exact_25
2025-06-12 06:23:44,70,4,R_170_200_0_0_exact_25
2025-06-12 06:23:44,70,5,R_200_250_4855_9999_NA_0
2025-06-12 06:23:44,70,6,R_200_250_4855_9999_NA_0
2025-06-12 06:23:44,70,7,R_200_250_4855_9999_NA_0
2025-06-12 06:23:44,70,8,R_10_1000_4875_9999_NA_0
2025-06-12 09:11:37,71,1,R_130_170_4875_9999_NA_0
2025-06-12 09:11:37,71,2,R_130_170_4875_9999_NA_0
2025-06-12 09:11:37,71,3,R_170_200_0_0_exact_25
2025-06-12 09:11:37,71,4,R_170_200_4875_9999_NA_0
2025-06-12 09:11:37,71,5,R_200_250_4855_9999_NA_0
2025-06-12 09:11:37,71,6,R_200_250_4855_9999_NA_0
2025-06-12 09:11:37,71,7,R_200_250_4855_9999_NA_0
2025-06-12 09:11:37,71,8,R_10_1000_4875_9999_NA_0
2025-06-12 10:14:16,72,1,R_130_170_4875_9999_NA_0
2025-06-12 10:14:16,72,2,R_130_170_4875_9999_NA_0
2025-06-12 10:14:16,72,3,R_170_190_0_0_exact_25
2025-06-12 10:14:16,72,4,R_170_190_0_0_exact_25
2025-06-12 10:14:16,72,5,R_190_250_4855_9999_NA_0
2025-06-12 10:14:16,72,6,R_190_250_4855_9999_NA_0
2025-06-12 10:14:16,72,7,R_190_250_4855_9999_NA_0
2025-06-12 10:14:16,72,8,R_10_1000_4875_9999_NA_0
2025-06-12 11:44:56,73,1,R_130_160_0_0_exact_35
2025-06-12 11:44:56,73,2,R_130_160_0_0_exact_35
2025-06-12 11:44:56,73,3,R_160_205_0_0_exact_25
2025-06-12 11:44:56,73,4,R_160_205_0_0_exact_25
2025-06-12 11:44:56,73,5,R_200_250_4855_9999_NA_0
2025-06-12 11:44:56,73,6,R_200_250_4855_9999_NA_0
2025-06-12 11:44:56,73,7,R_200_250_4855_9999_NA_0
2025-06-12 11:44:56,73,8,R_10_1000_4875_9999_NA_0
2025-06-12 14:39:01,74,1,R_130_160_0_0_max_35
2025-06-12 14:39:01,74,2,R_130_160_0_0_max_35
2025-06-12 14:39:01,74,3,R_160_205_0_0_exact_25
2025-06-12 14:39:01,74,4,R_160_205_0_0_exact_25
2025-06-12 14:39:01,74,5,R_200_300_4855_9999_NA_0
2025-06-12 14:39:01,74,6,R_200_300_4855_9999_NA_0
2025-06-12 14:39:01,74,7,R_200_300_4855_9999_NA_0
2025-06-12 14:39:01,74,8,R_10_1000_4875_9999_NA_0
2025-06-13 06:21:57,75,1,R_120_160_4875_9999_NA_0
2025-06-13 06:21:57,75,2,R_120_160_4875_9999_NA_0
2025-06-13 06:21:57,75,3,R_160_195_0_0_exact_25
2025-06-13 06:21:57,75,4,R_160_195_0_0_exact_25
2025-06-13 06:21:57,75,5,R_195_250_4855_9999_NA_0
2025-06-13 06:21:57,75,6,R_195_250_4855_9999_NA_0
2025-06-13 06:21:57,75,7,R_195_250_4855_9999_NA_0
2025-06-13 06:21:57,75,8,R_10_1000_4875_9999_NA_0
2025-06-13 07:04:28,76,1,R_120_160_4875_9999_NA_0
2025-06-13 07:04:28,76,2,R_120_160_4875_9999_NA_0
2025-06-13 07:04:28,76,3,R_160_195_0_0_exact_25
2025-06-13 07:04:28,76,4,R_160_195_0_0_exact_25
2025-06-13 07:04:28,76,5,R_195_250_4855_9999_NA_0
2025-06-13 07:04:28,76,6,R_195_250_4855_9999_NA_0
2025-06-13 07:04:28,76,7,R_195_250_4855_9999_NA_0
2025-06-13 07:04:28,76,8,R_10_1000_4875_9999_NA_0
2025-06-13 07:57:03,77,1,R_120_170_4875_9999_NA_0
2025-06-13 07:57:03,77,2,R_120_170_4875_9999_NA_0
2025-06-13 07:57:03,77,3,R_170_195_0_0_exact_25
2025-06-13 07:57:03,77,4,R_170_195_0_0_exact_25
2025-06-13 07:57:03,77,5,R_195_250_4855_9999_NA_0
2025-06-13 07:57:03,77,6,R_195_250_4855_9999_NA_0
2025-06-13 07:57:03,77,7,R_195_250_4855_9999_NA_0
2025-06-13 07:57:03,77,8,R_10_1000_4875_9999_NA_0
2025-06-13 08:37:52,78,1,R_120_170_0_0_exact_30
2025-06-13 08:37:52,78,2,R_120_170_0_0_exact_30
2025-06-13 08:37:52,78,3,R_170_195_0_0_exact_25
2025-06-13 08:37:52,78,4,R_170_195_0_0_exact_25
2025-06-13 08:37:52,78,5,R_195_250_4855_9999_NA_0
2025-06-13 08:37:52,78,6,R_195_250_4855_9999_NA_0
2025-06-13 08:37:52,78,7,R_195_250_4855_9999_NA_0
2025-06-13 08:37:52,78,8,R_10_1000_4875_9999_NA_0
2025-06-13 11:12:09,79,1,R_190_280_4875_9999_NA_0
2025-06-13 11:12:09,79,2,R_190_280_4875_9999_NA_0
2025-06-13 11:12:09,79,3,R_190_280_4875_9999_NA_0
2025-06-13 11:12:09,79,4,R_280_300_4875_9999_NA_0
2025-06-13 11:12:09,79,5,R_280_300_4875_9999_NA_0
2025-06-13 11:12:09,79,6,R_280_300_4875_9999_NA_0
2025-06-13 11:12:09,79,7,R_10_1000_4855_9999_NA_0
2025-06-13 11:12:09,79,8,R_10_1000_4855_9999_NA_0
2025-06-16 06:52:52,80,1,R_120_170_4875_9999_NA_0
2025-06-16 06:52:52,80,2,R_120_170_4875_9999_NA_0
2025-06-16 06:52:52,80,3,R_160_195_0_0_exact_25
2025-06-16 06:52:52,80,4,R_160_195_0_0_exact_25
2025-06-16 06:52:52,80,5,R_195_260_4875_9999_NA_0
2025-06-16 06:52:52,80,6,R_195_260_4875_9999_NA_0
2025-06-16 06:52:52,80,7,R_195_260_4875_9999_NA_0
2025-06-16 06:52:52,80,8,R_10_1000_4855_9999_NA_0
2025-06-16 07:48:15,81,1,R_120_165_4875_9999_NA_0
2025-06-16 07:48:15,81,2,R_120_165_4875_9999_NA_0
2025-06-16 07:48:15,81,3,R_160_195_0_0_exact_25
2025-06-16 07:48:15,81,4,R_160_195_0_0_exact_25
2025-06-16 07:48:15,81,5,R_195_260_4875_9999_NA_0
2025-06-16 07:48:15,81,6,R_195_260_4875_9999_NA_0
2025-06-16 07:48:15,81,7,R_195_260_4875_9999_NA_0
2025-06-16 07:48:15,81,8,R_10_1000_4855_9999_NA_0
2025-06-16 09:10:21,82,1,R_120_165_4875_9999_NA_0
2025-06-16 09:10:21,82,2,R_120_165_4875_9999_NA_0
2025-06-16 09:10:21,82,3,R_160_195_4875_9999_NA_0
2025-06-16 09:10:21,82,4,R_160_195_4875_9999_NA_0
2025-06-16 09:10:21,82,5,R_195_260_4875_9999_NA_0
2025-06-16 09:10:21,82,6,R_195_260_4875_9999_NA_0
2025-06-16 09:10:21,82,7,R_195_260_4875_9999_NA_0
2025-06-16 09:10:21,82,8,R_10_1000_4855_9999_NA_0
2025-06-16 10:31:43,83,1,R_190_250_4875_9999_NA_0
2025-06-16 10:31:43,83,2,R_190_250_4875_9999_NA_0
2025-06-16 10:31:43,83,3,R_190_250_4875_9999_NA_0
2025-06-16 10:31:43,83,4,R_250_300_4875_9999_NA_0
2025-06-16 10:31:43,83,5,R_250_300_4875_9999_NA_0
2025-06-16 10:31:43,83,6,R_250_300_4875_9999_NA_0
2025-06-16 10:31:43,83,7,R_10_1000_4875_9999_NA_0
2025-06-16 10:31:43,83,8,R_10_1000_4875_9999_NA_0
2025-06-16 15:03:54,84,1,R_190_275_4875_9999_NA_0
2025-06-16 15:03:54,84,2,R_190_275_4875_9999_NA_0
2025-06-16 15:03:54,84,3,R_190_275_4875_9999_NA_0
2025-06-16 15:03:54,84,4,R_250_300_4875_9999_NA_0
2025-06-16 15:03:54,84,5,R_250_300_4875_9999_NA_0
2025-06-16 15:03:54,84,6,R_250_300_4875_9999_NA_0
2025-06-16 15:03:54,84,7,R_10_1000_4875_9999_NA_0
2025-06-16 15:03:54,84,8,R_10_1000_4875_9999_NA_0
2025-06-17 06:01:28,85,1,R_120_170_4875_9999_NA_0
2025-06-17 06:01:28,85,2,R_120_170_4875_9999_NA_0
2025-06-17 06:01:28,85,3,R_170_190_0_0_exact_25
2025-06-17 06:01:28,85,4,R_170_190_0_0_exact_25
2025-06-17 06:01:28,85,5,R_190_250_4875_9999_NA_0
2025-06-17 06:01:28,85,6,R_190_250_4875_9999_NA_0
2025-06-17 06:01:28,85,7,R_190_250_4875_9999_NA_0
2025-06-17 06:01:28,85,8,R_10_1000_4875_9999_NA_0
2025-06-17 07:01:16,86,1,R_120_170_4875_9999_NA_0
2025-06-17 07:01:16,86,2,R_120_170_4875_9999_NA_0
2025-06-17 07:01:16,86,3,R_170_190_4875_9999_NA_0
2025-06-17 07:01:16,86,4,R_170_190_4875_9999_NA_0
2025-06-17 07:01:16,86,5,R_190_250_4875_9999_NA_0
2025-06-17 07:01:16,86,6,R_190_250_4875_9999_NA_0
2025-06-17 07:01:16,86,7,R_190_250_4875_9999_NA_0
2025-06-17 07:01:16,86,8,R_10_1000_4875_9999_NA_0
2025-06-17 07:38:19,87,1,R_120_170_4875_9999_NA_0
2025-06-17 07:38:19,87,2,R_120_170_4875_9999_NA_0
2025-06-17 07:38:19,87,3,R_170_190_0_0_exact_20
2025-06-17 07:38:19,87,4,R_170_190_0_0_exact_20
2025-06-17 07:38:19,87,5,R_190_250_4875_9999_NA_0
2025-06-17 07:38:19,87,6,R_190_250_4875_9999_NA_0
2025-06-17 07:38:19,87,7,R_190_250_4875_9999_NA_0
2025-06-17 07:38:19,87,8,R_10_1000_4875_9999_NA_0
2025-06-17 09:42:38,88,1,R_120_170_4875_9999_NA_0
2025-06-17 09:42:38,88,2,R_120_170_4875_9999_NA_0
2025-06-17 09:42:38,88,3,R_170_190_0_0_exact_25
2025-06-17 09:42:38,88,4,R_170_190_0_0_exact_25
2025-06-17 09:42:38,88,5,R_190_250_4875_9999_NA_0
2025-06-17 09:42:38,88,6,R_190_250_4875_9999_NA_0
2025-06-17 09:42:38,88,7,R_190_250_4875_9999_NA_0
2025-06-17 09:42:38,88,8,R_10_1000_4875_9999_NA_0
2025-06-17 12:41:42,89,1,R_120_170_0_0_exact_30
2025-06-17 12:41:42,89,2,R_120_170_0_0_exact_30
2025-06-17 12:41:42,89,3,R_160_190_4875_9999_NA_0
2025-06-17 12:41:42,89,4,R_160_190_4875_9999_NA_0
2025-06-17 12:41:42,89,5,R_190_250_4875_9999_NA_0
2025-06-17 12:41:42,89,6,R_190_250_4875_9999_NA_0
2025-06-17 12:41:42,89,7,R_190_250_4875_9999_NA_0
2025-06-17 12:41:42,89,8,R_10_1000_4875_9999_NA_0
2025-11-21T08:42:05.419788+00:00,60,1,R_120_160_0_0_exact_35
2025-11-21T08:42:05.419788+00:00,60,2,R_120_160_0_0_exact_35
2025-11-21T08:42:05.419788+00:00,60,3,R_160_200_0_0_exact_25
2025-11-21T08:42:05.419788+00:00,60,4,R_160_200_0_0_exact_25
2025-11-21T08:42:05.419788+00:00,60,5,R_200_250_4875_9999_NA_0
2025-11-21T08:42:05.419788+00:00,60,6,R_200_250_4875_9999_NA_0
2025-11-21T08:42:05.419788+00:00,60,7,R_200_250_4875_9999_NA_0
2025-11-21T08:42:05.419788+00:00,60,8,R_10_1000_4875_9999_NA_0
2025-11-21T11:55:58.498295+00:00,61,1,R_120_160_0_0_exact_30
2025-11-21T11:55:58.498295+00:00,61,2,R_120_160_0_0_exact_30
2025-11-21T11:55:58.498295+00:00,61,3,R_160_200_0_0_exact_25
2025-11-21T11:55:58.498295+00:00,61,4,R_160_200_0_0_exact_25
2025-11-21T11:55:58.498295+00:00,61,5,R_200_250_4875_9999_NA_0
2025-11-21T11:55:58.498295+00:00,61,6,R_200_250_4875_9999_NA_0
2025-11-21T11:55:58.498295+00:00,61,7,R_200_250_4875_9999_NA_0
2025-11-21T11:55:58.498295+00:00,61,8,R_10_1000_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,1,R_190_250_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,2,R_190_250_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,3,R_250_285_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,4,R_250_285_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,5,R_250_285_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,6,R_10_999_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,7,R_10_999_4875_9999_NA_0
2025-11-21T13:58:13.623747+00:00,62,8,R_10_999_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,1,R_220_290_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,2,R_220_290_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,3,R_290_310_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,4,R_290_310_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,5,R_310_400_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,6,R_310_400_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,7,R_310_400_4875_9999_NA_0
2025-11-21T15:01:15.399988+00:00,63,8,R_10_999_4875_9999_NA_0
