program_id,program_name,start_ts,end_ts,total_batches,total_batched_weight_g,total_reject_weight_g,total_giveaway_weight_g,total_weight_processed_g,total_weight_g,total_items_batched,total_items_rejected,total_items_processed,total_giveaway_pct,updated_at
1,Imported 20250605-055343,2025-06-05T05:53:00Z,2025-06-05T08:51:00Z,800,3358650,0,379835,3738485,3738485,22529,0,22529,10.1601,2025-10-02 10:28:45
2,Imported 20250605-085110,2025-06-05T08:51:00Z,2025-06-05T10:52:00Z,655,2983125,0,176114,3159239,3159239,15331,0,15331,5.5746,2025-10-02 10:28:58
3,Imported 20250605-105318,2025-06-05T10:53:00Z,2025-06-05T11:48:00Z,366,1784250,0,57200,1841450,1841450,7119,0,7119,3.1062,2025-10-02 10:29:11
4,Imported 20250605-115535,2025-06-05T11:55:00Z,2025-06-05T12:49:00Z,246,1199250,0,40032,1239282,1239282,3991,0,3991,3.2303,2025-10-02 10:29:24
5,Imported 20250611-060158,2025-06-11T06:01:00Z,2025-06-11T07:22:00Z,408,1772565,0,188241,1960806,1960806,10209,0,10209,9.6002,2025-10-02 10:29:37
6,Imported 20250611-082212,2025-06-11T08:22:00Z,2025-06-11T10:59:00Z,526,2546310,0,75467,2621777,2621777,9710,0,9710,2.8785,2025-10-02 10:29:50
7,Imported 20250612-062344,2025-06-12T06:23:00Z,2025-06-12T09:11:00Z,937,4438395,0,169446,4607841,4607841,23047,0,23047,3.6773,2025-10-02 10:30:01
8,Imported 20250612-091137,2025-06-12T09:11:00Z,2025-06-12T09:56:00Z,251,1220085,0,24653,1244738,1244738,5934,0,5934,1.9806,2025-10-02 10:30:14
9,Imported 20250612-101416,2025-06-12T10:14:00Z,2025-06-12T11:35:00Z,414,1986655,0,51566,2038221,2038221,9619,0,9619,2.53,2025-10-02 10:30:27
10,Imported 20250612-114456,2025-06-12T11:44:00Z,2025-06-12T14:18:00Z,665,3003770,0,204372,3208142,3208142,19206,0,19206,6.3704,2025-10-02 10:30:40
11,Imported 20250612-143901,2025-06-12T14:39:00Z,2025-06-12T15:36:00Z,338,1637246,0,43785,1681031,1681031,7040,0,7040,2.6047,2025-10-02 10:30:53
12,Imported 20250613-062157,2025-06-13T06:21:00Z,2025-06-13T07:04:00Z,153,734500,0,11614,746114,746114,5636,0,5636,1.5566,2025-10-02 10:31:06
13,Imported 20250613-070428,2025-06-13T07:04:00Z,2025-06-13T07:56:00Z,241,1046130,0,49865,1095995,1095995,6786,0,6786,4.5497,2025-10-02 10:31:19
14,Imported 20250613-075703,2025-06-13T07:57:00Z,2025-06-13T08:37:00Z,187,848505,0,36124,884629,884629,5015,0,5015,4.0835,2025-10-02 10:33:33
15,Imported 20250613-083752,2025-06-13T08:37:00Z,2025-06-13T11:10:00Z,820,3761280,0,205005,3966285,3966285,19619,0,19619,5.1687,2025-10-02 10:33:46
16,Imported 20250613-111209,2025-06-13T11:12:00Z,2025-06-13T15:19:00Z,1423,6931805,0,170542,7102347,7102347,26940,0,26940,2.4012,2025-10-02 10:33:59
17,Imported 20250616-065252,2025-06-16T06:52:00Z,2025-06-16T07:48:00Z,223,1055425,0,29688,1085113,1085113,7062,0,7062,2.7359,2025-10-02 10:34:12
18,Imported 20250616-074815,2025-06-16T07:48:00Z,2025-06-16T09:10:00Z,424,1865610,0,133245,1998855,1998855,10875,0,10875,6.6661,2025-10-02 10:34:25
19,Imported 20250616-091021,2025-06-16T09:10:00Z,2025-06-16T10:30:00Z,457,2227035,0,49091,2276126,2276126,10445,0,10445,2.1568,2025-10-02 10:34:38
20,Imported 20250616-103143,2025-06-16T10:31:00Z,2025-06-16T15:03:00Z,1388,6766500,0,181120,6947620,6947620,24908,0,24908,2.6069,2025-10-02 10:34:51
21,Imported 20250616-150354,2025-06-16T15:03:00Z,2025-06-16T16:10:00Z,390,1901250,0,48136,1949386,1949386,7497,0,7497,2.4693,2025-10-02 10:35:04
22,Imported 20250617-060128,2025-06-17T06:01:00Z,2025-06-17T07:01:00Z,310,1417500,0,48983,1466483,1466483,8104,0,8104,3.3402,2025-10-02 10:35:17
23,Imported 20250617-070116,2025-06-17T07:01:00Z,2025-06-17T07:38:00Z,195,950625,0,18402,969027,969027,4957,0,4957,1.899,2025-10-02 10:35:30
24,Imported 20250617-073819,2025-06-17T07:38:00Z,2025-06-17T09:42:00Z,669,3006200,0,88057,3094257,3094257,15065,0,15065,2.8458,2025-10-02 10:35:43
25,Imported 20250617-094238,2025-06-17T09:42:00Z,2025-06-17T12:17:00Z,811,3831750,0,116652,3948402,3948402,19516,0,19516,2.9544,2025-10-02 10:35:56
26,Imported 20250617-124142,2025-06-17T12:41:00Z,2025-06-17T14:50:00Z,589,2704350,0,138063,2842413,2842413,16000,0,16000,4.8572,2025-10-02 10:36:09
