program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
2,2025-06-05T05:59:00Z,0,26,3558
2,2025-06-05T06:00:00Z,3,114,15207
2,2025-06-05T06:01:00Z,3,129,16796
2,2025-06-05T06:02:00Z,4,137,17424
2,2025-06-05T06:03:00Z,4,139,18209
2,2025-06-05T06:04:00Z,3,145,18819
2,2025-06-05T06:05:00Z,5,124,15779
2,2025-06-05T06:06:00Z,3,142,18200
2,2025-06-05T06:07:00Z,4,137,17512
2,2025-06-05T06:08:00Z,3,103,13059
2,2025-06-05T06:09:00Z,1,29,3436
2,2025-06-05T06:10:00Z,2,85,10986
2,2025-06-05T06:11:00Z,3,118,15373
2,2025-06-05T06:12:00Z,3,124,16194
2,2025-06-05T06:13:00Z,4,133,19350
2,2025-06-05T06:14:00Z,4,147,20514
2,2025-06-05T06:15:00Z,3,143,18912
2,2025-06-05T06:16:00Z,5,147,19409
2,2025-06-05T06:17:00Z,4,140,18939
2,2025-06-05T06:18:00Z,5,146,22529
2,2025-06-05T06:19:00Z,4,137,21645
2,2025-06-05T06:20:00Z,6,126,19989
2,2025-06-05T06:21:00Z,4,137,22444
2,2025-06-05T06:22:00Z,4,145,23844
2,2025-06-05T06:23:00Z,6,139,22254
2,2025-06-05T06:24:00Z,4,136,21736
2,2025-06-05T06:25:00Z,6,133,21599
2,2025-06-05T06:26:00Z,3,123,18854
2,2025-06-05T06:27:00Z,6,142,22625
2,2025-06-05T06:28:00Z,6,134,22099
2,2025-06-05T06:29:00Z,3,133,21704
2,2025-06-05T06:30:00Z,5,129,21085
2,2025-06-05T06:31:00Z,5,139,23038
2,2025-06-05T06:32:00Z,6,143,23905
2,2025-06-05T06:33:00Z,6,143,23337
2,2025-06-05T06:34:00Z,3,123,19800
2,2025-06-05T06:35:00Z,3,122,19355
2,2025-06-05T06:36:00Z,6,128,20760
2,2025-06-05T06:37:00Z,4,132,21192
2,2025-06-05T06:38:00Z,4,132,21217
2,2025-06-05T06:39:00Z,6,116,18969
2,2025-06-05T06:40:00Z,4,139,22723
2,2025-06-05T06:41:00Z,5,139,22494
2,2025-06-05T06:42:00Z,5,136,22201
2,2025-06-05T06:43:00Z,4,136,21926
2,2025-06-05T06:44:00Z,6,147,23951
2,2025-06-05T06:45:00Z,6,144,23412
2,2025-06-05T06:46:00Z,4,138,22561
2,2025-06-05T06:47:00Z,4,145,23509
2,2025-06-05T06:48:00Z,6,139,22765
2,2025-06-05T06:49:00Z,6,141,22672
2,2025-06-05T06:50:00Z,4,145,23234
2,2025-06-05T06:51:00Z,6,145,23104
2,2025-06-05T06:52:00Z,5,142,22819
2,2025-06-05T06:53:00Z,3,128,20463
2,2025-06-05T06:54:00Z,4,134,21363
2,2025-06-05T06:55:00Z,5,138,22204
2,2025-06-05T06:56:00Z,4,83,13346
2,2025-06-05T06:57:00Z,4,139,22498
2,2025-06-05T06:58:00Z,7,140,20583
2,2025-06-05T06:59:00Z,3,136,19514
2,2025-06-05T07:00:00Z,5,141,18602
2,2025-06-05T07:01:00Z,2,140,18857
