program_id,recipe_name,ts_minute,batches_created,pieces_processed,weight_processed_g
2,R_120_160_0_0_exact_35,2025-06-05T05:59:00Z,0,26,3558
2,R_120_160_0_0_exact_35,2025-06-05T06:00:00Z,3,114,15207
2,R_120_160_0_0_exact_35,2025-06-05T06:01:00Z,3,116,15321
2,R_120_160_0_0_exact_35,2025-06-05T06:02:00Z,4,111,14605
2,R_120_160_0_0_exact_35,2025-06-05T06:03:00Z,3,122,16280
2,R_120_160_0_0_exact_35,2025-06-05T06:04:00Z,3,121,16129
2,R_120_160_0_0_exact_35,2025-06-05T06:05:00Z,4,95,12453
2,R_120_160_0_0_exact_35,2025-06-05T06:06:00Z,2,112,14808
2,R_120_160_0_0_exact_35,2025-06-05T06:07:00Z,4,106,13944
2,R_120_160_0_0_exact_35,2025-06-05T06:08:00Z,2,72,9518
2,R_120_160_0_0_exact_35,2025-06-05T06:09:00Z,0,10,1303
2,R_120_160_0_0_exact_35,2025-06-05T06:10:00Z,2,68,9025
2,R_120_160_0_0_exact_35,2025-06-05T06:11:00Z,2,91,12124
2,R_120_160_0_0_exact_35,2025-06-05T06:12:00Z,3,94,12599
2,R_120_160_0_0_exact_35,2025-06-05T06:13:00Z,3,79,11019
2,R_120_160_0_0_exact_35,2025-06-05T06:14:00Z,2,87,11709
2,R_120_160_0_0_exact_35,2025-06-05T06:15:00Z,2,107,14277
2,R_120_160_0_0_exact_35,2025-06-05T06:16:00Z,4,110,14554
2,R_120_160_0_0_exact_35,2025-06-05T06:17:00Z,2,99,13479
2,R_120_160_0_0_exact_35,2025-06-05T06:18:00Z,2,69,9935
2,R_120_160_0_0_exact_35,2025-06-05T06:19:00Z,2,54,7939
2,R_120_160_0_0_exact_35,2025-06-05T06:20:00Z,2,62,9267
2,R_120_160_0_0_exact_35,2025-06-05T06:21:00Z,2,49,7391
2,R_120_160_0_0_exact_35,2025-06-05T06:22:00Z,0,44,6742
2,R_120_160_0_0_exact_35,2025-06-05T06:23:00Z,2,57,8524
2,R_120_160_0_0_exact_35,2025-06-05T06:24:00Z,2,49,7159
2,R_120_160_0_0_exact_35,2025-06-05T06:25:00Z,1,46,6781
2,R_120_160_0_0_exact_35,2025-06-05T06:26:00Z,1,62,8809
2,R_120_160_0_0_exact_35,2025-06-05T06:27:00Z,2,58,8474
2,R_120_160_0_0_exact_35,2025-06-05T06:28:00Z,2,37,5610
2,R_120_160_0_0_exact_35,2025-06-05T06:29:00Z,0,45,6813
2,R_120_160_0_0_exact_35,2025-06-05T06:30:00Z,2,47,7151
2,R_120_160_0_0_exact_35,2025-06-05T06:31:00Z,1,33,5040
2,R_120_160_0_0_exact_35,2025-06-05T06:32:00Z,1,29,4412
2,R_120_160_0_0_exact_35,2025-06-05T06:33:00Z,2,58,8909
2,R_120_160_0_0_exact_35,2025-06-05T06:34:00Z,1,50,7488
2,R_120_160_0_0_exact_35,2025-06-05T06:35:00Z,1,50,7364
2,R_120_160_0_0_exact_35,2025-06-05T06:36:00Z,2,48,7182
2,R_120_160_0_0_exact_35,2025-06-05T06:37:00Z,2,58,8668
2,R_120_160_0_0_exact_35,2025-06-05T06:38:00Z,0,48,7152
2,R_120_160_0_0_exact_35,2025-06-05T06:39:00Z,2,39,5934
2,R_120_160_0_0_exact_35,2025-06-05T06:40:00Z,2,50,7611
2,R_120_160_0_0_exact_35,2025-06-05T06:41:00Z,1,58,8835
2,R_120_160_0_0_exact_35,2025-06-05T06:42:00Z,1,54,8267
2,R_120_160_0_0_exact_35,2025-06-05T06:43:00Z,2,59,8949
2,R_120_160_0_0_exact_35,2025-06-05T06:44:00Z,2,51,7683
2,R_120_160_0_0_exact_35,2025-06-05T06:45:00Z,2,59,8851
2,R_120_160_0_0_exact_35,2025-06-05T06:46:00Z,0,49,7473
2,R_120_160_0_0_exact_35,2025-06-05T06:47:00Z,2,57,8640
2,R_120_160_0_0_exact_35,2025-06-05T06:48:00Z,2,45,6862
2,R_120_160_0_0_exact_35,2025-06-05T06:49:00Z,2,65,9837
2,R_120_160_0_0_exact_35,2025-06-05T06:50:00Z,2,66,10064
2,R_120_160_0_0_exact_35,2025-06-05T06:51:00Z,2,70,10518
2,R_120_160_0_0_exact_35,2025-06-05T06:52:00Z,2,61,9258
2,R_120_160_0_0_exact_35,2025-06-05T06:53:00Z,0,59,8888
2,R_120_160_0_0_exact_35,2025-06-05T06:54:00Z,2,63,9436
2,R_120_160_0_0_exact_35,2025-06-05T06:55:00Z,2,62,9399
2,R_120_160_0_0_exact_35,2025-06-05T06:56:00Z,2,31,4651
2,R_120_160_0_0_exact_35,2025-06-05T06:57:00Z,0,53,7979
2,R_120_160_0_0_exact_35,2025-06-05T06:58:00Z,4,86,11941
2,R_120_160_0_0_exact_35,2025-06-05T06:59:00Z,2,92,12851
2,R_120_160_0_0_exact_35,2025-06-05T07:00:00Z,4,112,14973
2,R_120_160_0_0_exact_35,2025-06-05T07:01:00Z,2,114,15630
2,R_120_160_0_0_exact_35,2025-06-05T07:02:00Z,4,104,13839
2,R_120_160_0_0_exact_35,2025-06-05T07:03:00Z,2,103,14500
2,R_120_160_0_0_exact_35,2025-06-05T07:04:00Z,4,115,16198
2,R_120_160_0_0_exact_35,2025-06-05T07:05:00Z,3,119,17149
2,R_120_160_0_0_exact_35,2025-06-05T07:06:00Z,3,109,15427
2,R_120_160_0_0_exact_35,2025-06-05T07:07:00Z,4,126,18078
2,R_120_160_0_0_exact_35,2025-06-05T07:08:00Z,2,111,15648
2,R_120_160_0_0_exact_35,2025-06-05T07:09:00Z,4,108,15304
2,R_120_160_0_0_exact_35,2025-06-05T07:10:00Z,2,104,14642
2,R_120_160_0_0_exact_35,2025-06-05T07:11:00Z,4,111,15661
2,R_120_160_0_0_exact_35,2025-06-05T07:12:00Z,4,114,16159
2,R_120_160_0_0_exact_35,2025-06-05T07:13:00Z,2,108,15257
2,R_120_160_0_0_exact_35,2025-06-05T07:14:00Z,4,98,13903
2,R_120_160_0_0_exact_35,2025-06-05T07:15:00Z,2,109,15627
2,R_120_160_0_0_exact_35,2025-06-05T07:16:00Z,4,112,15913
2,R_120_160_0_0_exact_35,2025-06-05T07:17:00Z,4,124,17691
2,R_120_160_0_0_exact_35,2025-06-05T07:18:00Z,2,132,18850
2,R_120_160_0_0_exact_35,2025-06-05T07:19:00Z,4,119,17027
2,R_120_160_0_0_exact_35,2025-06-05T07:20:00Z,2,80,11765
2,R_120_160_0_0_exact_35,2025-06-05T07:21:00Z,2,55,8312
2,R_120_160_0_0_exact_35,2025-06-05T07:22:00Z,2,57,8468
2,R_120_160_0_0_exact_35,2025-06-05T07:23:00Z,2,59,8919
2,R_120_160_0_0_exact_35,2025-06-05T07:24:00Z,2,74,11073
2,R_120_160_0_0_exact_35,2025-06-05T07:25:00Z,2,71,10660
2,R_120_160_0_0_exact_35,2025-06-05T07:26:00Z,2,79,11474
2,R_120_160_0_0_exact_35,2025-06-05T07:27:00Z,2,82,12096
2,R_120_160_0_0_exact_35,2025-06-05T07:28:00Z,2,68,9916
2,R_120_160_0_0_exact_35,2025-06-05T07:29:00Z,2,66,9830
