,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
168,2025-06-16,15:05:50,Programma 1,250-300,6,Batch,4904,*,4875-9999,8314,2025-06-16 15:05:50+00:00,-1.0
229,2025-06-16,15:06:21,Programma 1,250-300,5,Batch,4942,*,4875-9999,8253,2025-06-16 15:06:21+00:00,0.0
244,2025-06-16,15:06:27,Programma 1,250-300,4,Batch,5125,*,4875-9999,8237,2025-06-16 15:06:27+00:00,0.0
350,2025-06-16,15:07:14,Programma 1,250-300,6,Batch,4917,*,4875-9999,8121,2025-06-16 15:07:14+00:00,-1.0
386,2025-06-16,15:07:31,Programma 1,250-300,5,Batch,4949,*,4875-9999,8086,2025-06-16 15:07:31+00:00,0.0
396,2025-06-16,15:07:34,Programma 1,250-300,4,Batch,4908,*,4875-9999,8076,2025-06-16 15:07:34+00:00,-1.0
556,2025-06-16,15:08:49,Programma 1,250-300,6,Batch,4933,*,4875-9999,7909,2025-06-16 15:08:49+00:00,0.0
638,2025-06-16,15:09:30,Programma 1,250-300,5,Batch,5135,*,4875-9999,7819,2025-06-16 15:09:30+00:00,0.0
648,2025-06-16,15:09:33,Programma 1,250-300,4,Batch,4901,*,4875-9999,7812,2025-06-16 15:09:33+00:00,0.0
797,2025-06-16,15:10:45,Programma 1,250-300,6,Batch,4882,*,4875-9999,7652,2025-06-16 15:10:45+00:00,0.0
861,2025-06-16,15:11:13,Programma 1,250-300,4,Batch,4898,*,4875-9999,7584,2025-06-16 15:11:13+00:00,0.0
868,2025-06-16,15:11:16,Programma 1,250-300,5,Batch,5135,*,4875-9999,7577,2025-06-16 15:11:16+00:00,-1.0
960,2025-06-16,15:11:59,Programma 1,250-300,6,Batch,4885,*,4875-9999,7478,2025-06-16 15:11:59+00:00,-1.0
1024,2025-06-16,15:12:27,Programma 1,250-300,4,Batch,4879,*,4875-9999,7406,2025-06-16 15:12:27+00:00,-2.0
1036,2025-06-16,15:12:33,Programma 1,250-300,5,Batch,4897,*,4875-9999,7394,2025-06-16 15:12:33+00:00,-1.0
1164,2025-06-16,15:13:33,Programma 1,250-300,6,Batch,5129,*,4875-9999,7258,2025-06-16 15:13:33+00:00,0.0
1227,2025-06-16,15:13:57,Programma 1,250-300,4,Batch,4953,*,4875-9999,7194,2025-06-16 15:13:57+00:00,0.0
1240,2025-06-16,15:14:02,Programma 1,250-300,5,Batch,5168,*,4875-9999,7178,2025-06-16 15:14:02+00:00,-1.0
1345,2025-06-16,15:14:54,Programma 1,250-300,6,Batch,4928,*,4875-9999,7059,2025-06-16 15:14:54+00:00,0.0
1404,2025-06-16,15:15:19,Programma 1,250-300,4,Batch,4897,*,4875-9999,7000,2025-06-16 15:15:19+00:00,0.0
1439,2025-06-16,15:15:37,Programma 1,250-300,5,Batch,4896,*,4875-9999,6963,2025-06-16 15:15:37+00:00,-1.0
1566,2025-06-16,15:16:44,Programma 1,250-300,6,Batch,4917,*,4875-9999,6814,2025-06-16 15:16:44+00:00,-1.0
